"","County","state","city"
"940",NA,"CO","mountain view"
"963",NA,"PA","canaan township"
"967",NA,"KY","ludlow"
"986",NA,"CA","santa nella"
"1006",NA,"KY","daviess county"
"1007",NA,"WI","geneva"
"1014",NA,"PA","penn township"
"1015",NA,"AK","spenard"
"1023",NA,"CA","hollywood hills"
"1056",NA,"GA","cobb county"
"1059",NA,"OR","clackamas county"
"1066",NA,"MO","sugar creek"
"1068",NA,"PA","wilkinsburg"
"1070",NA,"TX","saginaw"
"1081",NA,"OH","perry township"
"1090",NA,"NJ","manchester"
"1099",NA,"MN","roseville"
"1100",NA,"TX","henderson county"
"1123",NA,"TX","reno"
"1153",NA,"SD","rapid valley"
"1165",NA,"KY","east berstadt"
"1166",NA,"NY","cheektowaga"
"1195",NA,"MD","landover"
"1200",NA,"CA","florence"
"1202",NA,"NC","anson county"
"1219",NA,"PA","south greensburg"
"1224",NA,"TN","raleigh"
"1229",NA,"NM","pueblo of laguna"
"1235",NA,"MO","lee's summit"
"1252",NA,"AL","macon county"
"1264",NA,"WI","lake hallie"
"1265",NA,"MI","kentwood"
"1269",NA,"NY","rotterdam"
"1293",NA,"AL","brooksville"
"1305",NA,"CO","lakewood"
"1324",NA,"WA","burien"
"1336",NA,"MS","saint martin"
"1338",NA,"FL","hog valley"
"1344",NA,"OK","byng"
"1345",NA,"CA","boyle heights"
"1346",NA,"FL","jacksonsville"
"1350",NA,"IL","shawnee national forest"
"1352",NA,"CA","siskiyou county"
"1362",NA,"SC","chesterfield county"
"1365",NA,"FL","hallandale beach"
"1378",NA,"IL","washington park"
"1407",NA,"VA","norman"
"1413",NA,"MI","ishpeming township"
"1415",NA,"NC","iredell county"
"1452",NA,"WI","wauwatosa"
"1464",NA,"MI","columbia township"
"1471",NA,"NM","laguna pueblo"
"1476",NA,"LA","ouachita parish"
"1480",NA,"CO","park county"
"1498",NA,"MN","falcon heights"
"1516",NA,"FL","lake asbury"
"1518",NA,"NJ","little egg harbor township"
"1539",NA,"OR","aloha"
"1547",NA,"IL","rosemont"
"1556",NA,"MN","st paul"
"1559",NA,"NJ","old bridge township"
"1561",NA,"MN","bloomington"
"1569",NA,"MO","st louis"
"1572",NA,"FL","lauderhill"
"1581",NA,"TX","forth worth"
"1588",NA,"MO","st louis"
"1603",NA,"CA","san bernadino"
"1615",NA,"NM","rudioso"
"1621",NA,"SC","peltzer"
"1625",NA,"AZ","tuscon"
"1626",NA,"MO","st louis"
"1630",NA,"HI","waikoloa village"
"1645",NA,"AL","hoover"
"1656",NA,"MN","st paul"
"1688",NA,"NJ","hamilton township"
"1690",NA,"OK","muskogee county"
"1743",NA,"NY","constantania"
"1744",NA,"MD","landover"
"1746",NA,"FL","st augustine"
"1752",NA,"FL","st petersburg"
"1755",NA,"FL","tampa bay"
"1756",NA,"GA","chamblee"
"1762",NA,"FL","st augustine"
"1789",NA,"NJ","byram township"
"1790",NA,"OH","mt vernon"
"1796",NA,"CA","pajaro"
"1807",NA,"WV","mt olive"
"1826",NA,"NC","winston-salem"
"1836",NA,"NJ","lacey township"
"1857",NA,"WI","wauwatosa"
"1871",NA,"GA","ne white"
"1886",NA,"CA","mt shasta"
"1891",NA,"MI","st clair shores"
"1918",NA,"CA","irwindale"
"1921",NA,"MO","st louis"
"1922",NA,"MI","bloomfield township"
"1933",NA,"NC","archdale"
"1985",NA,"LA","sildell"
"1997",NA,"MN","st paul"
"1999",NA,"GA","rossvile"
"2000",NA,"FL","north miami"
"2007",NA,"OR","aloha"
"2013",NA,"NJ","woodbridge township"
"2051",NA,"OK","midwest city"
"2091",NA,"NJ","little egg harbor township"
"2092",NA,"FL","opa-locka"
"2123",NA,"MO","st louis"
"2124",NA,"OK","sportsmen acres"
"2139",NA,"WV","mt hope"
"2148",NA,"LA","st martinville"
"2160",NA,"CA","santa nella village"
"2194",NA,"MO","st louis"
"2197",NA,"UT","holladay"
"2220",NA,"MO","sugar creek"
"2223",NA,"OK","okmulgee county"
"2242",NA,"CA","east los angeles"
"2248",NA,"OH","cheviot"
"2264",NA,"OR","oak grove"
"2265",NA,"AR","mt ida"
"2294",NA,"FL","palmetto bay"
"2307",NA,"CA","east los angeles"
"2320",NA,"WI","lake hallie"
"2321",NA,"NY","rotterdam"
"2332",NA,"MO","st louis"
"2350",NA,"WI","wasau"
"2355",NA,"WA","burien"
"2358",NA,"FL","st petersburg"
"2360",NA,"MN","st paul"
"2361",NA,"MS","st martin"
"2365",NA,"OK","byng"
"2372",NA,"MO","west sullivan"
"2380",NA,"FL","hallandale beach"
"2385",NA,"MN","st paul"
"2387",NA,"IL","east st louis"
"2411",NA,"FL","davie"
"2415",NA,"GA","college park"
"2482",NA,"UT","murray"
"2490",NA,"MO","lakeshire"
"2492",NA,"IL","east st louis"
"2493",NA,"MI","st joseph"
"2509",NA,"LA","port vincent"
